DifficultyDate,SubmissionDate,ReceivingRegionCode,ReceivingDistrictOffice,JASCCode,AircraftMake,AircraftModel,AircraftTotalTime,AircraftTotalCycles,PartName,PartCondition,PartLocation,Discrepancy,Year,Month
2022-02-01,2022-02-01 14:34:00,CE,23.0,5347.0,BOEING,757204,63638.0,26452.0,SEAT TRACK,CORRODED,BS 1100-1180,"MAIN CABIN SEAT TRACK HAS CORROSION ON SEVERAL NUT PLATE HOLES LOCATED BET STA 1100 AND STA 1180 RBL 45. REMOVED CORROSION IAW SRM 51-10-02, ORIGINAL MATERIAL 0.080"", MATERIAL LOSS 0.018"", REMAIN 0.062"", FOUND OUT OF LIMITS IAW SRM 53-00-52-1A, FABRICATED SEAT TRACK, LOCATED, DRILLED AND DEBURRED IAW SRM 51-40-05, 51-40-08, TREATED ALODINED AND PRIMED IAW SRM 51-20-01, REMOVED AND INSTALLED SEAT TRACK IAW SRM 51-40-02, MAJOR REPAIR.",2022.0,2.0
2022-03-11,2022-03-15 08:47:00,SW,23.0,2540.0,BOEING,737*,5556.0,2210.0,LATCH,STICKING,ZONE 900 - LAV/G,AIRCRAFT WAS NOT GROUNDED: LEFT REAR LAVATORY DOOR DIFFICULT TO OPEN FROM INSIDE LAVATORY. CLEANED AND LUBRICATED DOOR LATCH PER CMM 25-40-58. A SATISFACTORY OPERATIONAL CHECK WAS ACCOMPLISHED.,2022.0,3.0
2022-02-21,2022-02-23 15:55:00,SW,29.0,3350.0,BOEING,7378H4,20630.0,9513.0,LIGHT,INOPERATIVE,,ALL AFT CABIN EMERGENCY LIGHTS POWERED BY POWER SUPPLY M1673 ARE INOP (LH SIDE) / [01] REPLACED EMERGENCY LIGHT BATTERY PACK M1673 IAW AMM 33-51-06-960-805. OPS CHECK GOOD.;[02] VERIFIED STEP 1,2022.0,2.0
2022-09-27,2022-09-30 13:04:00,SW,23.0,3350.0,BOEING,737823,61376.0,25147.0,BULB,INOPERATIVE,EMERGENCY LIGHTS,AIRCRAFT IN BASE MAINTENANCE: RIGHT AFT EMERGENCY EXIT LIGHT INOPERATIVE. REMOVED AND REPLACED RIGHT HAND AFT SIDE EMERGENCY LIGHT BULB IN ACCORDANCE WITH AMM 33-51-04.,2022.0,9.0
2021-12-23,2021-12-23 05:42:00,SW,7.0,5300.0,BOEING,767232,92380.0,41718.0,STRINGER,CORRODED,ZONE 100,CORROSION ON STRINGER L37,2021.0,12.0
2022-07-01,2022-08-02 14:12:00,SW,29.0,3350.0,BOEING,7377H4,60194.0,35692.0,BATTERY PACK,INOPERATIVE,PAX CABIN,INOP LOWERED CEILING PANEL BATTERY PACK RT AND LT SIDE AT AFT GALLEY AREA (2 EA) 2022-354395,2022.0,8.0
2022-03-09,2022-03-15 15:13:00,SW,29.0,3350.0,BOEING,737*,59870.0,35575.0,WIRE,INOPERATIVE,AFT GALLEY,EMERGENCY EXIT LIGHT IDENTIFIER LOCATED ON AFT GALLEY IS INOP. / [01] WHILE TROUBLESHOOTING FOUND GROUND WIRE PULLED OUT OF DISCONNECTABLE REMOVABLE CONTACT SPLICE (D10088). RE-TERMINATED WIRE AND PERFORMED GOOD OPERATIONAL TEST OF EMERGENCY EXIT LIGHT IDENTIFIER LOCATED ON AFT GALLEY PER SWPM 20-30-12; WDM 33-51-22; AMM 33-51-00-710-801; SOPM 20-50-01.,2022.0,3.0
2022-03-05,2022-03-16 11:38:00,SW,29.0,5714.0,BOEING,737*,58429.0,34783.0,ANGLE,CRACKED,CENTER WING BOX,BS 663; RBL 33.5; WL 195; .350' CRACK IN CENTER WING BOX TO BS 663 BULKHEAD ATTACH ANGLE AT FASTENER HOLE IN ANGLE. AREA MARKED IN BLACK; DOT 148-002 / [01] CUT AND REMOVED CRACK DAMAGE AT STA 663 RBL 33.5 IAW SRM 51-10-02-0G-0;[02] VERIFIED STEP 1 COMPLETE,2022.0,3.0
2022-09-14,2022-10-05 15:00:00,SW,29.0,5310.0,BOEING,7378H4,27317.0,12717.0,NONE,CRACKED,,MOPSILL INNER CHORD CRACKED BS 303.9 LBL 55 WL 209 / [01] UPDATED MEASUREMENTS. REMOVED FWD ENTRY DOOR MOPSILL IAW SRM 51-40-02.;[02] LOCATED AND DRILLED NEW FED MOP SILL IAW SRM 51-40-05-0G-0 AND BOEING DWG 141A8110 APPLIED CHEMICAL CONVERSION COAT AND PRIMED ALL BARE METAL AREAS IAW SRM 51-20-01-0G-0 OK TO INSTALL;[03] OK TO INSTALL;[04] VERIFIED CORRECTIVE ACTION 2 AND 3; OK TO INSTALL GIVEN.;[05] INSTALLED FED MOP SILL IAW SRM 51-40-02-0G-0 AND BOEING DWGS 141A8110;141A0720;140A9810;[06] VERIFIED CORRECTIVE ACTION #5;[07] VERIFIED MEASUREMENT TABLE;[08] CARD COMPLETE,2022.0,10.0
2022-07-22,2022-07-22 10:47:00,SW,7.0,5300.0,BOEING,757200,64113.0,21121.0,TIE CLIP,CORRODED,ZONE 100,LWW SUPPORT ANGLE CORRODED,2022.0,7.0
